Martial Art, Primary Technical Focus
Systema,
Brazilian Jiu-Jitsu, Joint-locks; Takedowns
Jūjutsu, Joint-locks; Takedowns; Throwing
Judo, Joint-locks; Takedowns; Throwing
Wrestling, Joint-locks; Takedowns; Throwing
Pehlwani, Joint-locks; Takedowns; Throwing
Huka-Huka, Joint-locks; Takedowns; Throwing
Daitō-ryū Aiki-jūjutsu, Joint-locks; Takedowns; Throwing
Nuba Fighting, Joint-locks; Takedowns; Throwing; Weapons
Adithada, Striking
Shaolin Kung Fu, Striking
Boxing, Striking
Muay Thai, Striking
Karate Do, Striking
Taekwondo, Striking
Capoeira, Striking
Kickboxing, Striking
Sanda, Striking
Wing Chun Kuen, Striking
Chángquán, Striking
Fānziquán, Striking
Dambe, Striking
Engolo, Striking
Moraingy, Striking
Bajiquan, Striking
Bak Mei, Striking
Taidō, Striking
Kyusho Jitsu, Striking
Savate, Striking
Lethwei, Striking
Tang Soo Do, Striking
Soo Bahk Do, Striking
Taijiquan, Striking; Joint-locks
Ying Quan, Striking; Joint-locks; Takedowns
Jeet Kune Do, Striking; Joint-locks; Takedowns; Throwing
Krav Maga, Striking; Joint-locks; Takedowns; Throwing
Sambo, Striking; Joint-locks; Takedowns; Throwing
Shuai Jiao, Striking; Joint-locks; Takedowns; Throwing
Luta Livre, Striking; Joint-locks; Takedowns; Throwing
Vale Tudo, Striking; Joint-locks; Takedowns; Throwing
Shorinji Kempo, Striking; Joint-locks; Takedowns; Throwing
Pankration, Striking; Joint-locks; Takedowns; Throwing
Kajukenbo, Striking; Joint-locks; Takedowns; Throwing
Hap Ki Do, Striking; Joint-locks; Takedowns; Throwing; Weapons
Silat, Striking; Joint-locks; Takedowns; Throwing; Weapons
Baguazhang, Striking; Joint-locks; Takedowns; Throwing; Weapons
Ninjutsu, Striking; Joint-locks; Takedowns; Throwing; Weapons
Kalaripayattu, Striking; Joint-locks; Takedowns; Throwing; Weapons
Vovinam, Striking; Joint-locks; Takedowns; Throwing; Weapons
Bartitsu, Striking; Joint-locks; Takedowns; Throwing; Weapons
Hung Ga Kuen, Striking; Takedowns
Taekkyeon, Striking; Throwing
Subak, Striking; Throwing
Piguaquan, Striking; Weapons
Bafaquan, Striking; Weapons
Aikido, Takedowns; Throwing
Sumo, Throwing
Arnis (Kali/ Eskrima), Weapons
Kendo, Weapons
Silambam, Weapons
Gatka, Weapons
Nguni Stick Fighting, Weapons
Tahtib, Weapons
Istunka, Weapons
Kyūdō, Weapons
Lathi Khela, Weapons
Iaido, Weapons